LGA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30300,3,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,10,0,17,0,3,0,0,0,0,0,0,0,6,0,8,3,4,0,0,0,4,0,3,0,33,0,47,5,3,0,4,0,9,0,9,0,4,0,36,14,3,0,11,0,10,3,3,0,11,0,47,9,3,0,15,0,4,0,0,0,5,0,42,13,3,0,15,0,5,3,0,0,0,0,36,10,3,0,9,3,0,0,0,0,0,0,37,35,3,0,17,3,0,0,0,0,3,0,61,22,0,0,5,0,0,0,0,0,0,0,32,8,3,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,5,16,0,0,3,0,0,0,0
LGA30370,20,0,0,7,0,3,0,0,0,18,0,43,3,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,3,0,10,0,13,0,0,0,0,0,0,0,7,0,3,0,8,3,0,3,3,0,0,0,0,0,40,0,55,0,3,0,0,0,0,0,11,0,10,0,29,20,3,0,3,0,3,0,8,0,95,3,148,11,3,0,11,0,22,0,11,4,35,0,100,21,5,0,31,0,13,0,7,4,27,3,122,26,5,0,39,4,11,3,8,4,13,0,116,23,0,0,20,3,11,0,4,0,0,0,73,35,3,3,19,0,17,0,0,0,11,0,91,81,3,4,45,5,37,0,3,4,6,0,186,55,4,3,31,6,5,8,7,0,7,0,116,68,3,0,19,3,0,0,0,0,0,0,99,34,0,0,4,0,9,0,0,0,0,0,49,72,4,4,24,3,9,0,0
LGA30410,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,3,0,3,0,4,0,35,0,46,0,0,0,0,0,4,0,3,0,6,0,17,10,0,0,8,0,3,0,0,3,10,0,37,10,0,0,0,0,4,0,0,0,5,0,24,3,0,0,7,0,3,0,0,0,0,0,12,16,0,0,9,0,4,0,0,0,0,0,27,23,0,0,9,0,4,0,0,0,0,0,39,11,0,0,5,0,3,0,0,0,0,0,23,10,0,0,3,3,0,0,0,0,0,0,12,6,0,0,3,0,0,0,0,0,0,0,7,13,0,0,3,0,3,0,0
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LGA30760,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,3,0,27,0,40,3,0,0,0,0,0,0,3,0,0,0,20,3,0,3,3,0,4,0,0,0,7,0,28,12,0,0,11,0,3,0,0,0,0,0,28,3,0,0,3,0,0,0,0,0,0,0,8,10,0,0,0,3,4,0,0,0,0,0,20,17,0,0,4,0,0,0,0,0,3,0,24,5,0,0,5,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31000,30,9,3,16,0,28,0,34,6,1614,12,1752,14,18,0,7,0,10,0,87,3,558,0,698,10,21,5,12,0,11,0,197,20,385,6,665,0,3,0,4,0,23,3,158,12,219,0,421,18,93,6,32,0,72,19,362,28,2174,18,2819,18,125,3,49,3,198,14,560,37,973,10,1993,68,453,24,121,10,519,22,742,67,6474,103,8594,112,534,12,325,23,1059,38,914,96,3187,34,6333,290,806,29,1039,49,1464,59,935,112,3844,46,8675,973,652,41,1741,96,1295,68,688,97,2550,40,8242,1176,344,36,1636,87,1165,54,384,87,894,8,5866,2008,340,31,1589,104,1024,62,356,84,1021,11,6623,6814,462,137,3005,299,1768,101,509,110,1208,28,14442,6037,281,102,2192,254,660,59,264,62,549,4,10457,4444,184,83,1139,201,365,41,124,25,329,7,6940,3030,68,54,470,141,774,22,115,35,225,4,4938,5559,298,98,1683,257,965,58,317
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LGA31820,12,4,3,6,0,3,0,0,3,111,3,143,12,3,0,0,0,5,0,5,0,98,0,128,3,4,0,7,0,3,0,20,3,60,0,103,0,0,0,0,0,3,0,4,6,27,0,44,14,16,4,18,0,20,3,47,3,655,17,789,3,11,0,12,0,40,0,98,7,291,5,467,23,47,7,28,7,73,8,154,22,2201,31,2598,32,40,3,59,8,161,0,161,22,669,10,1166,69,71,5,128,4,173,8,129,23,612,14,1232,149,62,11,208,9,146,9,55,10,371,3,1037,129,31,4,161,6,106,8,46,12,90,0,594,179,36,8,151,4,79,3,28,10,81,0,579,419,22,6,231,30,108,7,29,11,102,6,978,224,20,5,109,23,33,4,10,0,20,0,451,134,4,7,39,6,9,3,7,0,14,0,228,55,5,0,23,9,26,0,4,0,9,0,129,105,7,3,48,6,22,0,10
LGA31900,6,0,0,0,0,0,0,0,0,18,0,27,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,9,0,6,0,8,0,4,0,3,0,4,0,65,0,90,0,0,0,0,0,3,0,11,3,34,0,57,3,0,0,5,0,18,3,18,0,259,3,317,7,4,0,6,0,21,0,21,3,76,4,154,19,12,3,35,0,34,3,14,3,97,3,230,41,9,0,58,3,36,4,13,3,58,3,221,20,9,3,35,3,25,0,5,9,0,3,117,47,8,4,41,3,19,0,3,0,22,0,139,99,3,0,53,6,16,0,10,0,16,3,209,67,0,0,26,4,6,3,0,0,7,0,116,31,3,0,8,0,3,0,3,0,0,0,53,9,0,0,4,0,7,0,0,0,6,0,36,25,3,0,20,0,9,0,4
LGA31950,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32080,13,0,0,0,0,9,0,5,0,150,3,182,3,0,0,4,0,0,0,15,0,63,3,89,0,0,0,0,0,0,0,31,3,60,0,97,0,0,0,0,0,3,0,25,0,41,0,71,11,14,0,4,3,19,3,46,3,373,3,483,6,17,0,14,3,34,0,112,3,169,3,362,19,62,4,31,6,99,7,150,13,1013,17,1433,25,77,3,70,8,184,14,178,15,439,4,1018,95,134,3,197,8,253,20,157,15,467,11,1364,292,112,11,348,24,205,19,112,16,286,11,1431,233,55,10,310,24,176,16,64,10,90,4,987,376,37,4,294,22,117,10,27,12,91,3,1001,1047,70,18,458,62,213,20,56,22,123,5,2088,688,26,11,280,47,77,18,20,11,46,3,1231,403,20,10,107,34,43,5,14,0,20,3,662,193,8,6,42,14,52,3,11,10,13,0,346,352,24,3,146,26,57,14,12
LGA32250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3,21,0,0,0,0,0,5,0,0,0,7,0,12,0,0,0,0,0,3,0,0,0,5,0,18,3,0,0,9,0,0,0,0,0,5,0,20,5,0,0,0,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,0,0,0,0,12,21,0,0,3,0,0,0,0,0,0,0,30,8,0,0,7,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
LGA32260,4,0,0,0,0,3,0,3,0,37,5,53,3,0,0,4,0,6,0,0,0,29,0,47,3,0,0,0,0,3,0,7,0,16,0,29,0,0,0,0,0,0,0,0,0,8,0,12,8,5,0,0,0,4,0,28,0,140,0,193,3,0,0,0,0,4,0,16,0,50,0,77,10,21,3,14,3,22,0,51,4,390,9,540,12,13,5,29,4,48,4,56,9,149,4,322,40,26,3,64,3,48,3,46,0,133,5,377,84,29,0,87,3,48,7,21,4,69,0,354,58,12,0,73,10,24,0,14,0,20,0,207,94,14,3,57,8,24,3,8,5,25,0,243,164,11,0,81,13,20,4,8,3,30,0,341,88,3,3,36,10,5,0,4,0,5,0,155,43,3,3,12,0,3,0,0,0,3,0,73,20,0,0,3,0,3,0,0,0,5,0,35,34,3,0,26,3,3,0,3
LGA32270,6,0,0,3,0,0,0,0,0,14,0,27,3,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,0,8,0,32,3,43,0,5,0,0,0,3,0,12,0,14,0,38,9,8,3,9,0,14,0,12,0,107,0,165,15,12,0,10,0,22,0,14,0,37,0,101,29,9,3,30,3,34,3,10,5,33,3,158,46,14,0,44,3,44,3,7,3,14,0,181,33,0,3,45,3,31,0,9,0,4,0,142,76,5,0,44,6,26,4,8,3,10,0,178,143,10,3,92,9,61,3,4,7,10,0,349,126,7,5,70,10,14,3,0,0,0,0,240,88,4,7,37,4,3,3,0,0,0,0,143,46,3,0,11,0,35,0,0,3,0,0,105,131,8,3,54,6,19,3,0
LGA32310,11,0,0,0,0,0,0,0,0,16,0,24,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,11,0,11,4,3,0,0,0,4,0,8,0,47,3,62,0,3,0,4,0,3,0,13,0,21,0,41,3,6,0,0,0,11,0,13,4,168,7,210,4,4,0,0,0,10,0,18,0,41,0,83,7,7,0,13,3,23,3,16,4,37,0,116,16,9,0,12,0,21,0,7,0,22,4,88,14,3,0,17,0,19,0,0,0,10,0,68,29,3,0,11,0,5,0,3,0,10,0,66,41,3,0,23,3,14,3,0,4,9,0,101,30,5,0,10,3,4,0,0,0,5,0,54,26,0,0,10,0,4,0,0,0,3,0,46,9,0,0,0,3,3,0,0,0,0,0,27,17,0,0,3,0,3,0,0
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,3,0,7,3,0,0,9,0,7,0,0,0,0,0,15,7,0,0,7,0,3,0,0,0,0,0,13,20,0,3,0,4,5,0,0,0,0,0,41,15,0,0,8,0,0,0,0,0,0,0,24,14,0,0,0,0,3,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,10,19,0,0,4,0,0,0,0
LGA32500,3,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,10,0,23,0,0,0,0,0,0,0,4,3,3,0,9,0,0,0,0,0,3,0,3,0,32,0,41,0,0,0,3,0,10,0,6,0,10,0,29,8,0,0,4,0,3,0,0,0,5,0,24,4,0,0,7,0,3,0,3,0,4,0,20,6,0,0,3,3,4,0,0,0,0,0,24,7,4,0,10,0,4,0,3,0,4,0,30,28,0,0,14,0,4,0,0,0,5,0,48,11,0,0,6,0,0,0,0,0,0,0,19,6,0,0,3,0,3,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,0,0,0,0,0,0,0,0,0,17,0,18,3,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,3,0,3,0,10,3,0,0,0,0,0,0,0,0,37,0,49,3,4,0,4,0,0,0,10,0,22,0,49,3,8,0,9,0,15,0,14,0,85,0,136,4,10,0,10,0,13,0,22,3,35,0,100,15,29,0,25,0,11,3,14,0,41,3,147,49,21,3,38,0,14,0,6,0,27,3,160,23,7,0,33,4,3,0,3,0,10,0,89,63,6,0,31,0,10,0,3,0,14,0,119,99,10,6,31,5,7,0,3,0,21,0,185,41,3,3,22,4,0,3,3,0,3,0,77,18,0,3,7,4,0,0,0,3,0,0,38,7,0,0,3,0,6,0,0,0,4,0,15,24,0,0,6,0,9,0,4
LGA33100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,10,6,0,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33200,8,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,8,3,20,0,4,0,0,0,3,0,3,0,7,0,12,11,0,0,3,0,0,0,0,0,3,0,16,6,0,0,0,0,4,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,12,12,0,0,3,0,0,0,0,0,0,0,15,13,0,0,12,0,0,0,0,0,0,0,24,4,0,0,7,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
