LGA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA30250,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,23,0,23,..,1000,95,1095,15,1112,..,0,0,3,24,31,135,1000,98,1099,37,1269
LGA30300,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,30,10,35,3,43,..,116,18,128,3,131,..,20,0,20,326,344,3900,133,18,148,331,4377
LGA30370,..,4,0,4,0,8,..,10,0,10,0,10,..,3,0,3,0,3,..,24,0,27,0,27,..,7,0,12,0,12,..,7,0,7,0,7,..,0,0,0,0,0,..,48,4,49,0,49,..,18,0,16,0,16,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,48,0,48,0,48,..,5,0,5,0,5,..,55,3,55,3,61,..,5,0,5,0,5,..,105,3,107,3,112,..,5,0,5,0,5,..,27,22,41,0,41,..,7,0,5,0,5,..,0,0,0,0,0,..,51,63,119,0,119,..,119,81,201,8,210,..,482,209,690,11,706,..,23,3,30,1112,1143,12468,509,213,721,1125,14319
LGA30410,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,7,0,10,0,10,..,15,0,17,0,17,..,3,0,3,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,64,3,62,0,67,..,4,0,4,196,201,2602,61,3,66,195,2865
LGA30450,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,13,19,250,4,0,3,13,267
LGA30760,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,7,0,7,..,28,3,30,0,30,..,8,0,8,90,98,1773,34,3,38,90,1903
LGA30900,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,9,3,12,0,12,..,0,0,0,68,68,345,9,3,12,68,426
LGA31000,..,5542,675,6211,53,6262,..,1917,185,2103,11,2109,..,9320,453,9773,81,9847,..,8864,986,9851,100,9950,..,3455,183,3642,18,3662,..,2347,231,2580,22,2604,..,7659,588,8245,41,8292,..,33563,2627,36193,274,36468,..,6727,779,7502,100,7608,..,4407,759,5168,43,5209,..,7570,3444,11014,66,11081,..,550,76,628,9,636,..,162,10,172,4,175,..,3535,595,4129,24,4146,..,1877,147,2029,23,2049,..,2109,260,2371,12,2389,..,2919,256,3177,48,3225,..,1788,296,2087,18,2102,..,3099,89,3187,23,3209,..,2517,228,2741,18,2764,..,5026,119,5152,43,5194,..,1709,70,1774,16,1787,..,12344,510,12853,101,12954,..,9280,1197,10474,65,10544,..,2872,266,3139,18,3156,..,2211,517,2733,16,2751,..,587,86,665,3,671,..,12816,5662,18484,101,18582,..,29011,5679,34689,813,35498,..,210495,40456,250948,2268,253221,..,2389,419,2810,62933,65741,812201,212885,40870,253756,65202,1131155
LGA31750,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,7,0,7,..,3,0,8,0,8,..,0,0,0,30,31,313,10,0,9,30,353
LGA31820,..,24,0,28,0,32,..,30,0,30,0,30,..,77,0,79,0,79,..,51,8,65,0,65,..,39,0,37,0,37,..,31,0,34,0,34,..,90,11,105,0,105,..,319,29,346,0,346,..,315,46,359,10,366,..,64,38,100,0,106,..,86,62,151,5,153,..,3,0,3,0,3,..,25,4,30,3,34,..,10,3,18,0,18,..,19,0,22,0,22,..,35,3,42,0,42,..,11,0,9,0,9,..,13,0,13,0,13,..,122,11,131,3,134,..,20,4,23,0,23,..,168,12,175,0,176,..,48,6,47,0,47,..,361,20,383,5,391,..,72,9,85,3,84,..,21,3,28,0,28,..,71,16,91,0,91,..,95,17,110,0,110,..,90,63,150,0,155,..,601,101,700,23,722,..,3286,692,3984,61,4042,..,247,18,268,6276,6545,82305,3534,717,4250,6339,92897
LGA31900,..,55,3,63,0,63,..,4,0,4,0,4,..,3,0,3,0,3,..,4,3,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,7,0,7,..,26,3,29,0,29,..,418,73,486,4,494,..,14,26,43,0,43,..,24,24,46,0,46,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,28,3,32,0,37,..,4,0,4,0,4,..,23,3,24,0,24,..,0,0,0,0,0,..,60,3,62,0,63,..,16,3,24,0,22,..,3,0,3,0,3,..,5,0,7,0,7,..,0,0,0,0,0,..,13,16,23,0,27,..,101,14,117,5,120,..,854,204,1052,21,1070,..,45,6,50,1201,1255,14745,896,209,1109,1216,17074
LGA31950,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,3,9,3,14,..,3,0,4,60,65,253,12,3,17,66,328
LGA32080,..,177,12,193,6,195,..,53,3,53,0,53,..,236,11,245,0,246,..,747,87,840,11,846,..,114,11,127,0,123,..,57,7,64,3,65,..,503,440,943,0,948,..,1715,557,2273,19,2291,..,994,89,1083,10,1096,..,1926,436,2362,9,2374,..,630,329,960,6,966,..,10,0,11,0,11,..,45,0,45,3,51,..,71,3,74,0,74,..,127,14,142,0,141,..,118,12,133,0,133,..,134,12,145,4,146,..,53,4,59,0,59,..,400,13,411,4,414,..,183,24,204,6,212,..,743,38,780,4,787,..,142,6,151,6,152,..,1468,78,1549,23,1570,..,327,39,362,7,369,..,79,3,80,0,80,..,359,70,430,4,433,..,34,3,40,0,40,..,228,65,299,0,298,..,4242,806,5055,136,5188,..,17384,3141,20533,327,20854,..,510,65,570,13639,14211,121832,17896,3210,21100,13963,156901
LGA32250,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,3,3,0,4,..,6,0,9,0,9,..,0,0,0,0,0,..,10,5,13,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,5,14,..,61,5,66,3,66,..,9,0,9,161,172,1714,69,3,75,162,1958
LGA32260,..,63,8,72,0,76,..,0,0,3,0,3,..,31,6,39,0,38,..,528,109,636,10,647,..,0,0,0,0,0,..,5,0,5,0,5,..,4,5,12,0,12,..,581,114,698,16,707,..,451,61,508,9,519,..,51,38,88,3,86,..,16,31,40,3,42,..,0,0,0,0,0,..,32,0,28,0,31,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,13,0,13,0,14,..,0,0,0,0,3,..,72,6,77,0,78,..,9,0,15,0,15,..,107,5,112,3,117,..,21,0,21,0,19,..,209,13,222,3,229,..,26,0,29,0,29,..,3,0,3,0,3,..,23,10,31,0,37,..,0,0,0,0,0,..,7,0,7,0,7,..,458,113,572,10,581,..,2265,444,2712,72,2778,..,99,16,115,2561,2675,23271,2365,462,2829,2628,28726
LGA32270,..,12,0,12,0,12,..,5,0,11,0,11,..,24,6,32,0,32,..,42,13,55,0,55,..,16,0,16,0,16,..,5,0,5,0,5,..,44,0,48,0,48,..,146,19,166,0,166,..,23,0,25,0,25,..,10,0,10,0,10,..,16,9,31,0,31,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,16,0,16,0,16,..,10,0,10,0,10,..,5,0,5,0,5,..,124,0,121,3,123,..,19,0,20,0,20,..,125,3,129,0,129,..,8,0,8,0,5,..,280,11,285,3,292,..,39,9,40,0,40,..,20,0,20,0,20,..,37,5,37,0,36,..,3,0,5,0,5,..,9,3,8,0,8,..,256,25,281,4,288,..,1163,121,1290,12,1301,..,61,5,66,3357,3418,23277,1223,127,1351,3366,27999
LGA32310,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,6,0,6,0,6,..,21,0,21,0,21,..,5,0,7,0,7,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,24,0,24,0,24,..,7,0,7,0,7,..,21,0,21,0,21,..,4,0,4,0,4,..,53,0,53,0,53,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,11,0,11,..,58,5,66,0,65,..,257,15,268,7,277,..,28,0,28,1156,1184,10420,287,15,304,1160,11876
LGA32330,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,48,0,49,0,49,..,3,0,3,40,46,1171,50,3,53,40,1269
LGA32450,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,8,..,17,3,16,0,16,..,0,0,0,0,0,..,3,0,3,0,3,..,32,3,33,0,30,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,4,8,0,8,..,0,0,0,0,0,..,16,0,18,0,18,..,0,0,0,0,0,..,24,3,27,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,10,0,16,..,109,10,120,0,122,..,10,0,10,428,444,2471,124,10,133,431,3032
LGA32500,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,7,0,7,..,11,0,9,0,9,..,10,10,16,0,16,..,12,14,24,0,24,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,4,0,4,0,4,..,24,0,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,59,13,72,3,75,..,318,58,376,5,378,..,21,3,21,676,696,3148,340,54,391,682,4226
LGA32600,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,77,77,213,4,0,4,77,294
LGA32750,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,11,0,8,0,8,..,0,0,0,40,38,239,11,3,12,40,291
LGA32770,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,6,21,18,37,..,60,6,60,19,76,..,0,0,0,23,22,1295,60,4,63,43,1405
LGA32810,..,9,0,9,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,10,5,15,0,15,..,0,3,3,0,3,..,4,0,4,0,4,..,8,0,8,0,8,..,31,4,38,0,38,..,88,7,96,3,101,..,32,0,34,0,34,..,32,11,39,0,39,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,6,0,6,..,6,0,11,0,11,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,10,0,10,..,4,0,4,0,4,..,9,0,9,0,9,..,3,0,3,0,3,..,29,0,28,0,28,..,46,0,45,0,45,..,4,0,4,0,4,..,31,13,45,3,45,..,0,0,0,0,0,..,16,3,13,0,13,..,67,7,70,0,73,..,760,76,843,27,862,..,31,4,40,1537,1576,9280,800,81,880,1562,11714
LGA33100,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,11,0,11,..,3,0,3,80,84,702,12,0,14,80,799
LGA33200,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,7,0,7,..,16,4,17,0,17,..,0,0,0,125,125,1397,16,4,17,125,1536
