LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,10,0,22,3,0,0,3,8,0,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,4,3,0,6,15,12,21,15,5,3,7,9,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA30300,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,3,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,35,27,3,12,3,0,0,7,0,80,0,0,0,0,0,0,0,0,0,0,20,7,3,3,0,0,3,4,0,41,24,9,4,10,3,5,3,0,0,53,67,9,116,5,3,13,25,54,6,306,0,0,0,0,0,0,0,0,0,11,11,0,0,3,0,0,5,5,0,21,0,0,0,0,0,0,0,3,0,0,12,0,7,0,0,3,6,5,4,44,174,60,138,37,12,22,47,80,8,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA30370,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,15,24,4,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,6,7,0,0,3,0,0,0,0,16,0,3,4,0,0,0,0,0,0,5,66,110,34,10,5,3,10,9,3,250,0,0,0,4,0,0,0,0,0,5,21,15,13,6,3,3,3,8,3,70,38,14,32,6,6,6,12,7,8,120,166,19,710,18,18,20,225,132,12,1316,10,0,9,0,3,7,9,10,0,49,26,0,3,0,3,3,32,13,0,84,3,0,4,0,0,4,10,7,0,29,29,0,9,3,0,4,30,32,13,122,379,194,828,55,46,42,327,221,32,2118,0,7,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,6,3,26,0,3,3,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0
LGA30410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,36,0,3,4,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,8,3,4,4,0,0,0,0,0,15,7,4,4,5,5,0,0,3,0,30,34,7,74,6,6,7,25,34,3,191,0,0,0,0,0,0,3,3,0,16,9,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,8,3,20,86,57,86,18,19,4,27,49,6,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,5,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,12,0,0,0,6,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,3,3,3,3,0,4,0,0,0,18,23,3,41,5,3,4,7,25,3,113,3,0,0,0,0,0,0,0,0,4,13,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,3,5,0,26,60,17,52,12,11,12,18,31,7,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,6,12,0,34,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,16,0,4,4,0,0,6,20,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31000,95,281,9,10,28,12,4,5,4,450,696,5305,85,45,93,36,27,37,53,6369,5625,11971,814,688,1647,809,420,632,286,22895,192,468,23,16,70,41,15,23,10,858,1075,3355,207,215,400,134,71,90,59,5609,465,768,76,94,193,36,20,29,16,1711,13760,39567,4487,3461,5769,3486,1662,2815,940,75942,26,31,49,36,23,15,13,28,8,216,2342,2868,1898,820,837,563,568,587,164,10645,3683,3530,3374,2169,1884,1411,1106,1360,250,18753,6978,3113,26349,3357,3198,3002,4555,5235,893,56676,216,190,310,279,212,274,264,435,30,2212,558,476,536,430,340,424,461,515,55,3800,345,690,369,186,154,152,199,250,71,2415,468,628,684,252,229,275,437,570,525,4078,36530,73238,39272,12057,15072,10676,9815,12607,3363,212639,72,389,13,22,44,13,0,0,4,559,417,4032,57,52,175,27,0,13,19,4797,3200,12596,317,1121,2634,769,40,377,233,21283,139,584,13,52,107,26,0,25,18,959
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,13,0,3,0,6,9,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,7,9,3,15,0,3,0,9,9,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA31820,0,8,0,0,0,0,0,0,0,12,6,72,0,0,3,0,0,0,0,83,53,157,10,4,5,10,3,7,0,264,0,13,0,0,0,0,0,0,0,15,16,88,5,6,6,0,3,0,0,126,9,17,3,3,3,0,0,6,0,47,217,870,87,91,51,24,21,64,8,1436,0,0,0,3,0,0,0,3,0,5,77,112,43,66,15,19,17,24,3,376,167,111,102,108,57,47,56,68,8,731,727,179,2814,278,183,269,759,786,102,6098,28,12,29,18,3,36,43,76,4,257,39,18,43,40,12,22,51,57,3,286,18,14,20,7,7,8,19,28,0,119,62,21,57,18,7,24,83,97,47,415,1433,1696,3222,647,355,455,1056,1214,175,10258,0,11,0,0,0,0,0,0,0,11,3,39,0,0,0,0,0,0,0,41,33,215,4,9,22,3,0,12,0,300,3,20,0,3,0,0,0,0,0,31
LGA31900,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,16,0,0,0,0,0,4,0,32,0,3,0,0,0,0,0,0,0,3,5,11,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,56,126,15,15,3,3,7,20,0,246,0,0,0,0,0,0,0,0,0,3,25,6,12,6,0,3,0,5,0,57,34,17,18,19,10,4,11,9,0,140,276,38,700,42,25,30,269,201,20,1600,18,0,5,3,0,3,12,6,0,41,21,0,3,3,0,3,16,12,4,63,0,0,0,0,0,0,4,3,0,21,16,7,18,0,0,3,31,26,8,119,462,225,781,99,47,57,350,282,39,2337,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,3,17,5,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,0,3,0,3,3,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,11,7,13,0,6,0,3,3,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32080,0,18,0,0,0,0,0,0,0,20,16,255,4,5,8,0,0,3,0,286,202,418,27,46,48,25,12,15,12,810,8,25,0,0,4,0,0,0,0,44,58,252,15,39,13,6,14,11,0,398,26,57,13,8,8,5,0,3,0,102,731,2344,338,428,249,169,100,148,52,4553,3,4,7,12,3,0,0,0,0,29,269,452,238,164,85,58,83,69,29,1450,418,357,407,375,159,142,127,114,54,2148,1423,557,6103,742,459,574,1156,1190,217,12417,34,36,76,66,29,64,59,103,8,465,80,82,102,94,33,62,95,102,14,656,45,66,55,32,10,17,17,41,5,294,96,97,172,78,30,66,133,137,84,902,3403,5014,7552,2091,1130,1185,1788,1927,469,24560,3,39,0,0,0,0,0,3,0,51,19,182,0,7,11,3,0,0,0,224,159,790,12,84,114,38,0,22,9,1245,7,62,0,4,4,0,0,0,0,84
LGA32250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,8,4,5,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,13,4,0,0,8,0,0,0,0,0,20,19,7,48,7,3,0,15,27,0,129,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,4,20,41,29,64,28,11,0,18,31,4,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
LGA32260,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,13,22,37,0,0,4,0,0,0,0,67,3,3,0,0,0,0,0,4,0,11,10,27,0,0,0,0,0,0,0,43,3,3,0,0,0,0,0,0,0,7,90,188,29,38,10,7,12,43,9,419,4,0,0,0,0,0,0,3,0,4,42,36,9,12,4,8,6,14,3,146,64,39,34,37,11,5,22,30,5,248,390,54,1012,65,49,71,322,336,38,2337,3,4,3,6,4,10,13,27,0,70,15,6,13,10,0,3,10,28,0,96,6,4,10,0,0,3,10,14,0,41,35,14,29,6,5,8,45,73,19,237,693,421,1143,180,96,129,441,569,66,3731,0,3,0,0,0,0,0,0,0,3,4,4,0,3,0,0,0,0,0,11,15,52,0,4,5,3,0,8,0,82,0,4,0,0,0,0,0,0,0,3
LGA32270,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,18,41,6,0,5,0,0,3,0,78,0,0,0,0,0,0,0,0,0,3,8,26,4,5,0,0,0,0,0,42,5,4,7,0,0,0,0,0,0,16,127,255,56,22,16,12,32,18,3,538,3,0,0,3,0,0,0,0,0,8,52,28,29,13,3,0,22,8,0,159,73,33,70,23,20,6,36,8,4,281,308,67,1486,40,50,48,705,180,44,2920,17,5,10,5,3,13,24,28,0,98,31,4,16,0,3,3,52,15,3,136,8,0,7,3,0,0,8,3,0,28,28,10,39,0,3,9,69,45,13,212,679,482,1740,117,104,89,947,302,66,4529,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,15,68,4,3,8,3,0,0,0,102,0,6,0,0,0,0,0,0,0,5
LGA32310,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,8,16,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,13,0,0,4,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,27,84,9,12,3,8,0,0,3,154,0,0,0,0,0,0,0,0,0,0,6,10,8,9,3,0,3,3,0,38,17,11,9,16,0,0,4,3,3,63,109,20,357,30,13,23,123,92,7,778,3,3,7,4,0,10,3,9,0,37,9,0,9,0,0,3,7,13,0,38,0,0,3,0,0,0,5,0,0,15,11,3,6,10,0,6,14,14,0,62,196,175,415,73,32,49,155,133,18,1234,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,8,25,0,0,0,0,0,0,0,37,0,4,0,0,0,0,0,0,0,4
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,6,0,0,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,7,11,0,0,0,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,6,3,4,0,7,0,0,84,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,24,3,3,9,3,3,0,4,0,0,27,29,4,150,3,5,6,79,36,0,314,0,0,0,0,0,0,0,4,0,7,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,12,3,4,22,61,84,171,16,18,6,111,51,3,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
LGA32500,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,36,3,7,4,0,0,3,3,80,0,0,0,0,0,0,0,0,0,0,4,4,3,5,3,0,0,3,0,30,13,13,9,4,0,0,3,3,0,43,40,34,120,14,17,10,41,45,0,324,0,3,5,0,0,3,0,3,0,23,8,0,0,0,0,0,3,5,0,25,3,3,0,0,0,0,0,3,0,11,8,8,8,0,4,4,8,6,3,46,105,111,156,34,27,21,61,81,12,593,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,17,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,5,0,0,0,9,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,12,3,0,0,3,6,0,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,3,3,0,3,10,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,4,4,0,0,0,3,0,14,0,0,0,0,0,0,0,3,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,13,6,10,0,0,0,10,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,21,20,6,12,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,8,9,0,3,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,66,77,26,33,20,15,3,16,0,262,0,0,0,0,0,0,0,0,0,0,33,16,18,10,3,8,4,14,3,112,36,28,33,38,3,8,8,15,0,166,135,42,488,38,28,34,90,138,14,1015,3,0,4,6,4,0,0,14,0,37,13,15,6,10,0,4,4,13,3,61,7,4,0,0,0,0,4,8,0,20,14,8,21,7,0,0,9,25,16,100,329,234,599,166,71,65,128,239,41,1868,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,10,35,0,8,4,5,0,3,0,66,0,0,0,0,0,0,0,0,0,0
