LGA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
LGA30250,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,13,0,13,..,520,42,563,7,566,..,0,0,3,14,10,56,517,48,569,18,635,135,..,..,..,..,135,..,0,0,0,0,0,..,0,0,0,0,0,..,973,94,1069,15,1084,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA30300,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,16,3,15,3,18,..,55,5,62,3,62,..,7,0,7,157,162,1898,68,5,76,158,2129,3900,..,..,..,..,3900,..,29,0,32,0,32,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,3,0,3,..,4,0,3,0,3,..,0,0,0,0,0,..,3,3,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3
LGA30370,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,23,..,0,0,0,0,0,..,32,3,32,0,35,..,3,0,3,0,3,..,66,3,62,0,63,..,3,0,3,0,3,..,4,4,3,0,3,..,8,0,3,0,3,..,0,0,0,0,0,..,26,35,59,0,59,..,56,16,73,3,72,..,240,70,309,5,319,..,14,3,14,521,533,6078,249,73,322,526,6928,12468,..,..,..,..,12468,..,26,0,26,0,26,..,0,0,0,0,3,..,3,0,3,0,3,..,5,4,7,0,7,..,14,29,43,0,43,..,0,3,3,0,7,..,24,33,58,0,60,..,3,0,3,0,3,..,10,0,10,0,10,..,6,0,6,0,6,..,4,0,4,0,4
LGA30410,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,37,0,34,0,36,..,0,0,0,88,92,1290,37,0,40,91,1419,2602,..,..,..,..,2602,..,12,0,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10
LGA30450,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,6,9,113,0,0,0,6,123,250,..,..,..,..,250,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA30760,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,17,0,13,0,13,..,0,0,0,53,55,887,17,0,21,53,958,1773,..,..,..,..,1773,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA30900,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,9,0,9,..,0,0,0,37,37,157,3,0,9,37,201,345,..,..,..,..,345,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3
LGA31000,41,5753,..,295,44,345,5,345,..,87,3,88,4,91,..,1645,319,1958,13,1966,..,1028,90,1113,13,1128,..,1244,169,1412,10,1416,..,1521,109,1631,22,1653,..,903,159,1066,13,1076,..,1906,53,1955,18,1969,..,1429,142,1573,14,1578,..,3110,65,3169,34,3205,..,1036,28,1065,6,1073,..,7474,281,7758,71,7823,..,4773,661,5433,36,5471,..,1364,130,1500,12,1508,..,1513,335,1856,11,1870,..,276,38,312,0,316,..,6405,3413,9817,54,9866,..,14419,2975,17397,407,17805,..,108691,22604,131299,1208,132510,..,1209,219,1431,30117,31545,410663,109902,22821,132731,31325,574720,812201,..,..,..,..,812201,..,2758,38,2795,15,2812,..,5169,1253,6425,55,6482,..,273,24,294,9,301,..,13394,3517,16912,86,16997,..,36018,10492,46508,192,46699,..,1961,758,2722,19,2737,..,51373,14771,66142,298,66440,..,1080,148,1231,11,1240,..,1591,50,1640,17,1660,..,4164,199,4370,29,4400,..,4215,130,4341,39,4383
LGA31750,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,4,0,3,0,3,..,0,0,0,13,13,143,4,0,3,13,164,313,..,..,..,..,313,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA31820,4,73,..,0,0,0,0,0,..,12,0,17,3,16,..,3,0,3,0,3,..,14,0,12,0,12,..,23,0,27,0,27,..,3,0,3,0,3,..,3,0,3,0,3,..,92,10,96,3,97,..,13,4,14,0,14,..,133,7,142,0,142,..,35,3,32,0,32,..,267,20,284,5,288,..,39,9,49,0,47,..,11,0,14,0,14,..,51,12,61,0,59,..,43,6,45,0,45,..,40,33,81,0,81,..,301,46,343,12,357,..,1753,386,2141,36,2177,..,132,5,137,3081,3216,41788,1883,392,2281,3115,47180,82305,..,..,..,..,82305,..,168,4,173,3,175,..,37,3,46,0,45,..,29,0,34,0,34,..,73,42,112,0,112,..,196,196,393,5,395,..,13,6,22,0,22,..,286,245,535,5,534,..,28,0,25,0,25,..,123,4,127,0,130,..,102,7,107,0,108,..,262,6,268,5,275
LGA31900,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,3,22,0,22,..,4,0,4,0,4,..,18,0,14,0,14,..,0,0,0,0,0,..,38,3,45,0,45,..,11,0,11,0,10,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,6,10,12,0,15,..,60,11,65,3,68,..,461,109,574,8,583,..,25,3,29,571,604,7217,488,112,603,583,8402,14745,..,..,..,..,14745,..,30,0,30,0,30,..,0,0,0,0,0,..,20,0,18,0,17,..,14,8,17,0,17,..,8,13,25,0,25,..,0,0,0,0,0,..,21,22,44,0,44,..,4,0,4,0,4,..,6,0,6,0,6,..,21,4,31,0,31,..,21,0,21,0,21
LGA31950,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,7,..,3,0,3,25,29,112,7,0,5,28,144,253,..,..,..,..,253,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA32080,0,501,..,3,0,4,0,4,..,24,0,24,0,24,..,38,3,40,0,40,..,65,7,70,0,70,..,73,10,85,0,85,..,69,3,73,4,74,..,25,0,26,0,30,..,270,7,278,4,281,..,113,11,128,0,129,..,523,25,548,3,552,..,98,4,102,3,101,..,998,51,1048,14,1065,..,177,15,197,3,193,..,41,0,41,0,41,..,239,51,290,3,293,..,15,0,19,0,19,..,117,43,155,0,155,..,2314,445,2758,68,2828,..,9602,1752,11353,171,11522,..,244,29,275,6696,6973,61016,9844,1784,11625,6866,79508,121832,..,..,..,..,121832,..,267,8,273,3,271,..,122,16,136,7,145,..,1055,89,1145,59,1203,..,396,110,509,3,511,..,890,261,1148,10,1166,..,72,31,100,0,102,..,1364,391,1761,15,1772,..,94,13,105,4,104,..,347,17,356,3,362,..,465,42,510,3,511,..,933,33,961,7,975
LGA32250,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,8,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,29,0,32,0,30,..,8,0,8,74,79,842,38,0,36,73,947,1714,..,..,..,..,1714,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3
LGA32260,0,24,..,0,0,0,0,0,..,19,0,18,0,19,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,3,..,46,4,54,0,51,..,4,0,4,0,4,..,71,3,73,0,73,..,13,0,13,0,13,..,132,9,139,3,143,..,15,0,14,0,14,..,0,0,0,0,0,..,19,7,21,0,21,..,0,0,0,0,0,..,3,0,8,0,8,..,235,53,292,4,299,..,1152,240,1399,32,1424,..,44,9,49,1181,1236,11299,1199,252,1450,1210,13961,23271,..,..,..,..,23271,..,20,0,20,0,20,..,0,0,3,0,3,..,99,5,102,18,119,..,23,8,37,0,39,..,45,28,77,5,81,..,0,0,0,0,0,..,75,42,112,3,118,..,14,0,19,0,18,..,26,4,29,0,33,..,33,3,32,0,36,..,62,0,62,3,66
LGA32270,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,60,0,60,3,65,..,12,3,9,0,9,..,64,3,70,0,70,..,3,0,3,0,3,..,146,3,147,3,151,..,17,4,20,0,20,..,3,0,3,0,3,..,22,0,24,0,28,..,3,0,3,0,3,..,6,0,6,0,6,..,125,10,138,3,141,..,600,59,664,6,667,..,32,0,31,1419,1457,11117,633,63,699,1427,13240,23277,..,..,..,..,23277,..,162,0,162,0,162,..,0,0,3,0,3,..,0,0,3,0,3,..,11,10,28,0,28,..,45,23,70,0,70,..,0,0,0,0,0,..,58,39,100,0,100,..,4,0,4,0,4,..,11,0,11,0,11,..,19,0,18,0,18,..,34,4,34,0,34
LGA32310,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,19,0,19,..,7,0,7,0,7,..,13,0,13,0,13,..,4,0,4,0,4,..,35,0,35,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,13,0,13,..,31,0,29,0,29,..,143,3,146,0,147,..,17,0,17,578,599,5250,157,3,161,583,5992,10420,..,..,..,..,10420,..,6,0,6,0,6,..,0,0,0,0,0,..,24,0,24,3,30,..,0,0,0,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,9,0,9,0,7,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,15,0,15,0,15
LGA32330,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,28,0,28,0,28,..,3,0,3,15,25,589,28,0,31,15,635,1171,..,..,..,..,1171,..,0,0,0,0,0,..,0,0,0,0,0,..,43,0,42,0,42,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA32450,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,4,6,0,6,..,0,0,0,0,0,..,10,0,11,0,11,..,0,0,0,0,0,..,16,3,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,7,..,50,6,62,0,59,..,4,0,4,190,195,1071,57,6,60,191,1327,2471,..,..,..,..,2471,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,12,0,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5
LGA32500,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,27,5,30,0,31,..,159,29,194,3,197,..,6,3,13,291,299,1451,169,30,202,293,1950,3148,..,..,..,..,3148,..,8,0,8,0,13,..,0,0,0,0,0,..,120,4,123,0,124,..,3,0,3,0,3,..,11,6,15,0,17,..,0,0,0,0,0,..,7,6,17,0,21,..,0,0,0,0,0,..,3,0,3,0,3,..,11,3,16,0,16,..,37,0,37,0,37
LGA32600,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,34,34,105,4,0,4,34,145,213,..,..,..,..,213,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA32750,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,5,0,5,..,0,0,0,20,24,111,3,3,5,20,142,239,..,..,..,..,239,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA32770,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,9,11,18,..,32,0,32,11,38,..,0,0,0,11,11,641,32,0,32,18,692,1295,..,..,..,..,1295,..,0,0,0,0,0,..,0,0,0,0,0,..,31,0,31,0,33,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA32810,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,7,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,8,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,17,0,17,0,17,..,25,3,25,0,25,..,0,0,0,0,0,..,17,6,29,3,28,..,0,0,0,0,0,..,5,3,6,0,6,..,44,0,42,0,46,..,408,38,448,16,465,..,18,0,18,786,804,4488,422,38,466,801,5758,9280,..,..,..,..,9280,..,9,0,5,0,5,..,0,0,0,0,0,..,82,9,96,13,109,..,12,5,18,0,18,..,33,8,38,0,38,..,0,0,0,0,0,..,47,12,62,0,62,..,3,0,3,0,3,..,45,0,45,0,45,..,79,3,82,0,82,..,103,0,105,0,107
LGA33100,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,9,0,9,..,3,0,3,41,40,317,10,0,9,41,369,702,..,..,..,..,702,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4
